Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1416978061777,-23,30,-2191,0,1,-1,749554,-118696046,-1067125338,8701059,29233
1416978061779,-14,34,-2177,-1,0,0,753138,-118698542,-1067125092,8696779,29234
1416978061779,-15,25,-2181,-2,-1,0,752825,-118701023,-1067124844,8693461,29235
1416978061782,-16,31,-2179,-1,-1,-1,752851,-118700661,-1067124897,8691854,29236
1416978061782,-14,27,-2180,0,2,0,759060,-118703183,-1067124601,8693189,29237
1416978061784,-24,22,-2186,0,0,-1,761829,-118702845,-1067124650,8691528,29238
1416978061784,-14,30,-2180,-1,-2,0,760053,-118705292,-1067124394,8689736,29239
1416978061792,-9,36,-2187,0,0,-1,762863,-118704953,-1067124440,8688446,29240
1416978061792,-22,34,-2192,0,0,0,762587,-118707435,-1067124143,8691111,29241
1416978061827,-18,25,-2171,0,1,-1,769276,-118707111,-1067124184,8689864,29242
1416978061827,-20,25,-2186,-1,-2,-1,766824,-118706723,-1067124240,8688554,29243
1416978061831,-18,24,-2186,-1,-1,-1,767458,-118706356,-1067124294,8686870,29244
1416978061831,-9,39,-2187,0,0,-1,768148,-118705989,-1067124325,8687933,29245
1416978061833,-20,33,-2186,-1,-1,-1,765093,-118705606,-1067124343,8691283,29246
1416978061833,-14,29,-2184,-1,-1,-1,765838,-118705238,-1067124389,8690584,29247
1416978061836,-17,28,-2183,0,0,-2,768654,-118702057,-1067124752,8689160,29248
1416978061836,-14,36,-2182,-1,-1,-1,768959,-118701692,-1067124803,8687893,29249
1416978061841,-13,31,-2192,2,0,-1,769952,-118701323,-1067124776,8696182,29250
1416978061841,-12,41,-2191,-1,-1,-2,769826,-118698120,-1067125139,8695316,29251
1416978061877,-15,33,-2175,0,0,0,772510,-118700623,-1067124858,8695387,29252
1416978061877,-21,24,-2178,0,0,0,772930,-118703099,-1067124564,8697621,29253
1416978061879,-22,29,-2186,0,0,1,773942,-118708413,-1067123964,8698658,29254
1416978061879,-12,34,-2190,-1,-1,-1,772349,-118708018,-1067123993,8700594,29255
1416978061882,-19,31,-2179,-1,-2,0,769252,-118710476,-1067123724,8700433,29256
1416978061882,-19,35,-2178,0,0,0,770138,-118712948,-1067123432,8702355,29257
1416978061884,-11,30,-2182,1,0,1,771372,-118718260,-1067122798,8707614,29258
1416978061884,-13,30,-2182,-1,-3,0,765258,-118720696,-1067122533,8707303,29259
1416978061900,-19,31,-2187,0,-1,-1,762891,-118720308,-1067122537,8712330,29260
1416978061901,-24,27,-2186,0,0,-1,763803,-118719939,-1067122562,8714228,29261
1416978061903,-21,24,-2189,0,2,-1,770960,-118719612,-1067122588,8714933,29262
1416978061903,-8,30,-2179,0,0,0,771994,-118722083,-1067122304,8715938,29263
1416978061910,-8,31,-2180,0,1,-1,774375,-118721748,-1067122326,8717561,29264
1416978061910,-17,32,-2182,0,1,-1,776769,-118721413,-1067122347,8719305,29265
1416978061945,-14,31,-2180,-1,-1,-2,777149,-118718206,-1067122710,8718516,29266
1416978061945,-17,36,-2179,0,0,-2,779988,-118715025,-1067123072,8717333,29267
1416978061947,-19,36,-2193,0,1,-1,783556,-118714681,-1067123089,8719572,29268
1416978061947,-17,28,-2186,0,1,1,787321,-118720018,-1067122475,8721759,29269
1416978061950,-10,30,-2176,-1,-1,0,785068,-118722470,-1067122188,8723630,29270
1416978061950,-21,29,-2188,-1,-1,-1,784531,-118722112,-1067122236,8722702,29271
1416978061953,-17,29,-2162,-1,-1,-1,782809,-118721718,-1067122265,8724635,29272
1416978061953,-23,32,-2182,0,0,-1,783441,-118721351,-1067122292,8726358,29273
1416978061960,-19,24,-2197,-1,-2,-2,781716,-118718114,-1067122658,8725799,29274
1416978061960,-17,35,-2196,0,0,0,782497,-118720587,-1067122374,8726810,29275
1416978061979,-11,29,-2182,0,1,-1,788573,-118720268,-1067122414,8725728,29276
1416978061979,-15,27,-2184,0,0,-1,790985,-118719933,-1067122460,8724334,29277
1416978061982,-18,27,-2193,-1,-1,-1,788493,-118719545,-1067122491,8726110,29278
1416978061982,-11,26,-2174,-1,-1,-1,788896,-118719180,-1067122543,8724667,29279
1416978062010,-15,30,-2187,0,1,0,791561,-118721684,-1067122254,8725764,29280
1416978062010,-15,34,-2196,1,0,-1,792267,-118721317,-1067122256,8730428,29281
1416978062013,-5,27,-2195,-1,-1,-1,789869,-118720928,-1067122279,8733040,29282
1416978062013,-20,27,-2189,-1,-1,0,786120,-118723392,-1067121993,8734929,29283
1416978062015,-17,27,-2180,-1,-1,-1,786772,-118723025,-1067122045,8733463,29284
1416978062015,-13,33,-2186,0,0,0,787349,-118725500,-1067121757,8734901,29285
1416978062029,-17,33,-2186,0,0,-1,787536,-118725137,-1067121779,8737119,29286
1416978062029,-7,31,-2178,0,1,0,791035,-118727634,-1067121484,8738966,29287
1416978062032,-12,24,-2175,0,0,-1,790455,-118727277,-1067121507,8741033,29288
1416978062033,-18,30,-2184,-1,-1,1,790034,-118732602,-1067120929,8739336,29289
1416978062040,-7,29,-2187,-1,-1,0,790456,-118735078,-1067120662,8738276,29290
1416978062040,-17,26,-2193,0,0,-1,792373,-118734747,-1067120708,8736921,29291
1416978062055,-13,33,-2183,0,0,0,795456,-118737247,-1067120443,8735049,29292
1416978062055,-10,26,-2179,0,0,0,795617,-118739725,-1067120149,8737275,29293
1416978062059,-14,33,-2191,1,0,-1,795652,-118739364,-1067120154,8741525,29294
1416978062059,-21,33,-2186,0,0,0,795934,-118741841,-1067119861,8743718,29295
1416978062078,-17,24,-2184,0,1,-1,802471,-118741518,-1067119903,8742347,29296
1416978062078,-11,33,-2195,1,0,-1,803337,-118741150,-1067119911,8746242,29297
1416978062082,-13,41,-2189,1,1,-2,806450,-118737968,-1067120224,8750985,29298
1416978062082,-10,39,-2172,1,0,-1,807053,-118737602,-1067120215,8757015,29299
1416978062115,-21,26,-2178,1,0,-2,807286,-118734397,-1067120523,8762869,29300
1416978062115,-14,28,-2191,1,0,-2,808694,-118731182,-1067120846,8766956,29301
1416978062117,-13,30,-2176,0,2,-1,814609,-118730865,-1067120869,8767885,29302
1416978062117,-13,38,-2172,1,2,0,820720,-118733388,-1067120551,8771948,29303
1416978062119,-17,39,-2172,1,2,-1,826962,-118733069,-1067120540,8777001,29304
1416978062119,-11,32,-2184,0,1,-1,830550,-118732724,-1067120554,8779595,29305
