Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417308594044,-52,28,-2144,0,0,-2,5499213,798371571,-717917680,9396994,22319
1417308594047,-58,29,-2161,0,0,0,5498586,798370238,-717919131,9399773,22320
1417308594047,-61,24,-2164,0,0,0,5498344,798368900,-717920577,9403151,22321
1417308594053,-49,22,-2156,-1,-1,0,5500933,798367550,-717922041,9404471,22322
1417308594053,-53,30,-2147,-1,-1,0,5502720,798366210,-717923516,9404534,22323
1417308594066,-48,23,-2153,-1,-1,0,5504112,798364860,-717924992,9405650,22324
1417308594067,-46,21,-2159,0,0,0,5503602,798363535,-717926444,9407622,22325
1417308594071,-46,27,-2159,-1,-1,-1,5505253,798364111,-717925795,9407303,22326
1417308594071,-55,27,-2149,-1,-2,0,5504413,798362794,-717927291,9405372,22327
1417308594093,-61,22,-2158,0,1,-1,5506056,798363347,-717926597,9410442,22328
1417308594093,-61,24,-2165,-1,-2,-2,5502934,798365888,-717923811,9409235,22329
1417308594096,-52,23,-2160,0,0,-2,5503445,798368377,-717920998,9412431,22330
1417308594096,-52,29,-2158,-1,-1,-1,5501371,798368987,-717920333,9412613,22331
1417308594103,-64,23,-2158,0,0,-2,5504721,798371437,-717917543,9415623,22332
1417308594103,-52,26,-2163,-1,-1,0,5503619,798370125,-717918993,9416929,22333
1417308594117,-49,25,-2154,0,0,0,5503151,798368794,-717920443,9419492,22334
1417308594117,-53,24,-2148,0,-1,-1,5498525,798369419,-717919758,9421485,22335
1417308594121,-59,26,-2152,0,0,-2,5498396,798371913,-717916952,9423975,22336
1417308594121,-53,20,-2163,0,0,0,5498524,798370577,-717918395,9427203,22337
1417308594143,-39,24,-2158,0,0,0,5498694,798369252,-717919839,9429355,22338
1417308594143,-62,30,-2153,-1,-1,0,5499467,798367918,-717921325,9428646,22339
1417308594146,-59,22,-2149,-1,-1,-1,5497587,798368513,-717920656,9430337,22340
1417308594146,-54,25,-2153,-1,-1,0,5496177,798367206,-717922110,9431111,22341
1417308594153,-55,24,-2145,-1,-1,-1,5494097,798367812,-717921445,9431650,22342
1417308594154,-55,32,-2144,0,0,0,5494089,798366481,-717922890,9434355,22343
1417308594168,-52,29,-2167,-1,-1,-1,5491458,798367079,-717922229,9435583,22344
1417308594168,-50,27,-2158,-1,-1,0,5488802,798365771,-717923695,9436250,22345
1417308594201,-48,23,-2160,-1,-1,0,5486177,798364466,-717925162,9436587,22346
1417308594201,-59,38,-2151,-1,-1,0,5483753,798363166,-717926628,9436402,22347
1417308594203,-56,19,-2159,-1,-1,0,5484909,798361803,-717928105,9438710,22348
1417308594203,-46,28,-2146,-1,-2,0,5485646,798360487,-717929585,9437021,22349
1417308594206,-46,27,-2157,0,1,0,5486438,798359133,-717931027,9441350,22350
1417308594206,-64,21,-2147,-2,-1,0,5489649,798357777,-717932533,9439619,22351
1417308594209,-63,24,-2144,0,0,-1,5490689,798358355,-717931840,9442882,22352
1417308594209,-57,26,-2161,-1,-1,0,5489436,798357043,-717933291,9444195,22353
1417308594211,-50,28,-2144,0,0,1,5489366,798353797,-717936861,9447223,22354
1417308594211,-53,23,-2149,-1,-1,-1,5490730,798354363,-717936213,9447867,22355
1417308594228,-56,26,-2159,0,0,-1,5490671,798354947,-717935532,9450274,22356
1417308594228,-42,25,-2157,-1,-2,0,5490759,798353624,-717937018,9449160,22357
1417308594236,-48,26,-2142,-1,-1,-1,5487681,798354239,-717936365,9448574,22358
1417308594236,-57,26,-2146,0,0,-2,5486966,798356735,-717933566,9450769,22359
1417308594253,-58,20,-2153,0,0,0,5486942,798355400,-717935011,9453813,22360
1417308594253,-56,27,-2154,-1,-1,0,5485634,798354096,-717936464,9454308,22361
1417308594256,-56,19,-2145,-1,-1,-1,5483539,798354699,-717935798,9455183,22362
1417308594256,-53,26,-2137,-1,-1,0,5482169,798353398,-717937252,9455428,22363
1417308594263,-58,26,-2158,0,0,-1,5481852,798353979,-717936573,9458106,22364
1417308594263,-44,21,-2158,-1,-1,-1,5480012,798354581,-717935905,9459072,22365
1417308594279,-47,27,-2146,0,0,-1,5479385,798355174,-717935232,9460458,22366
1417308594279,-55,32,-2150,1,1,0,5478229,798353835,-717936648,9466697,22367
1417308594283,-52,29,-2143,0,-1,-1,5473472,798354448,-717935961,9469809,22368
1417308594283,-50,22,-2159,-1,-2,-1,5473006,798355037,-717935326,9468586,22369
1417308594303,-54,19,-2154,0,0,-1,5472787,798355624,-717934648,9470601,22370
1417308594303,-62,27,-2150,0,0,0,5477195,798354259,-717936101,9472976,22371
1417308594305,-50,31,-2154,-1,-1,-1,5475606,798354857,-717935430,9474403,22372
1417308594306,-48,21,-2141,-1,-1,0,5472624,798353548,-717936900,9475062,22373
1417308594312,-52,19,-2155,0,0,0,5472328,798352225,-717938349,9476860,22374
1417308594312,-59,18,-2164,0,1,1,5474418,798348965,-717941904,9480971,22375
1417308594329,-56,29,-2170,0,0,0,5475281,798347638,-717943340,9483481,22376
1417308594329,-52,20,-2149,0,0,1,5474847,798344390,-717946913,9486627,22377
1417308594333,-52,30,-2148,-1,-1,-1,5473078,798345003,-717946246,9486547,22378
1417308594333,-52,31,-2153,0,0,-1,5472300,798345581,-717945572,9489425,22379
1417308594353,-55,24,-2159,-2,-2,0,5473739,798344241,-717947090,9486438,22380
1417308594353,-48,27,-2151,0,0,0,5473724,798342910,-717948535,9489086,22381
1417308594356,-58,28,-2147,0,0,-1,5476926,798343454,-717947873,9491553,22382
1417308594356,-57,27,-2152,0,0,-1,5476829,798344029,-717947191,9494818,22383
1417308594362,-56,20,-2145,-1,-2,0,5476924,798342704,-717948676,9493873,22384
1417308594362,-50,23,-2148,0,-1,1,5473314,798339505,-717952232,9496109,22385
1417308594378,-53,21,-2166,-1,-1,0,5471079,798338204,-717953695,9496106,22386
1417308594378,-55,24,-2162,0,0,0,5471167,798336878,-717955140,9498300,22387
1417308594382,-54,33,-2156,0,0,-1,5471175,798337460,-717954458,9500920,22388
1417308594382,-55,32,-2154,-1,-1,-1,5468366,798338058,-717953799,9502081,22389
1417308594403,-49,31,-2140,-1,-1,-2,5469799,798340529,-717951023,9503454,22390
1417308594403,-52,22,-2155,-1,-1,-1,5466781,798341133,-717950367,9504022,22391
1417308594406,-51,18,-2151,0,0,-2,5466760,798343631,-717947561,9506197,22392
1417308594406,-48,23,-2146,0,0,0,5466980,798342309,-717949005,9507986,22393
1417308594412,-53,25,-2143,1,0,-1,5464395,798342911,-717948304,9511821,22394
1417308594412,-48,22,-2161,-1,-1,-1,5466298,798343478,-717947651,9512463,22395
1417308594429,-53,25,-2152,0,0,0,5465888,798342155,-717949101,9514282,22396
1417308594429,-52,24,-2151,-1,-1,-1,5467779,798342723,-717948447,9514904,22397
1417308594432,-55,30,-2145,0,0,-1,5467554,798343307,-717947768,9517263,22398
1417308594432,-56,25,-2157,-1,-2,-1,5467245,798343893,-717947130,9516372,22399
1417308594481,-49,22,-2157,-1,-3,0,5465528,798342597,-717948629,9513020,22400
1417308594481,-49,28,-2158,-1,-2,-1,5465445,798343196,-717947992,9510888,22401
1417308594483,-52,31,-2155,0,0,-1,5464594,798343778,-717947319,9513290,22402
1417308594483,-55,28,-2159,0,-1,-1,5459681,798344395,-717946635,9516009,22403
1417308594486,-47,34,-2157,0,-1,0,5455266,798343100,-717948072,9518760,22404
1417308594486,-50,20,-2146,0,-1,0,5449639,798341805,-717949521,9521274,22405
1417308594488,-59,27,-2146,1,1,0,5449392,798340471,-717950928,9527179,22406
1417308594488,-54,21,-2149,-1,-1,1,5451560,798337208,-717954522,9528555,22407
1417308594508,-52,29,-2161,-1,-1,0,5453887,798335866,-717955991,9528950,22408
1417308594508,-59,27,-2148,1,0,1,5451018,798332635,-717959543,9533637,22409
1417308594509,-54,22,-2148,1,1,0,5450869,798331287,-717960946,9540941,22410
1417308594509,-56,27,-2155,-1,-2,-1,5451220,798331882,-717960304,9539276,22411
1417308594512,-50,28,-2147,-1,-2,-1,5451267,798332471,-717959663,9538195,22412
1417308594512,-52,24,-2147,1,0,0,5448368,798331154,-717961090,9542627,22413
1417308594514,-54,23,-2146,0,0,-1,5448157,798331738,-717960411,9544982,22414
1417308594514,-51,18,-2157,0,0,-1,5448205,798332321,-717959730,9547440,22415
1417308594529,-46,34,-2159,-1,-1,1,5446489,798329113,-717963315,9547084,22416
1417308594529,-54,32,-2152,0,0,-1,5444844,798329691,-717962650,9549686,22417
1417308594533,-50,22,-2151,0,0,1,5444006,798326441,-717966227,9552903,22418
1417308594533,-49,21,-2155,-1,-1,1,5441848,798323230,-717969816,9552797,22419
1417308594555,-57,25,-2161,-1,-3,0,5435897,798321983,-717971308,9548240,22420
1417308594555,-59,27,-2145,0,-1,0,5431934,798320690,-717972740,9550906,22421
1417308594557,-57,20,-2162,0,0,-1,5432037,798321266,-717972056,9554155,22422
1417308594557,-50,23,-2156,-1,-2,-1,5428775,798321902,-717971398,9552348,22423
1417308594561,-45,17,-2149,-1,-2,-1,5424665,798322539,-717970749,9550158,22424
1417308594561,-49,30,-2149,0,-1,-1,5420490,798323175,-717970061,9551066,22425
1417308594579,-63,31,-2160,1,1,-1,5419274,798323744,-717969350,9557672,22426
1417308594579,-48,25,-2156,0,-1,-1,5415290,798324353,-717968654,9561372,22427
1417308594583,-50,22,-2150,0,-1,-2,5410648,798326891,-717965843,9563185,22428
1417308594583,-52,27,-2155,0,-1,-1,5406432,798327518,-717965153,9564960,22429
1417308594606,-52,28,-2158,1,0,-2,5403855,798330025,-717962325,9569433,22430
1417308594606,-52,23,-2168,-1,-1,-1,5401372,798330631,-717961663,9569956,22431
1417308594608,-51,30,-2149,0,1,-1,5403163,798331191,-717960969,9574294,22432
1417308594608,-47,18,-2148,1,0,-2,5400235,798333696,-717958144,9578932,22433
1417308594612,-56,20,-2152,1,0,-1,5398059,798334304,-717957441,9582221,22434
1417308594612,-45,28,-2160,0,0,0,5398542,798332977,-717958881,9584597,22435
1417308594628,-49,35,-2150,1,0,0,5395238,798331664,-717960313,9588515,22436
1417308594628,-58,31,-2143,0,0,-1,5393787,798332239,-717959645,9591476,22437
1417308594632,-51,21,-2161,-1,-2,0,5393649,798330910,-717961131,9590926,22438
1417308594632,-53,30,-2158,-1,-1,-2,5395792,798333395,-717958352,9590959,22439
1417308594653,-54,23,-2137,1,0,0,5392971,798332074,-717959777,9595782,22440
1417308594653,-60,23,-2154,-1,-1,-2,5395209,798334555,-717956995,9596308,22441
1417308594656,-56,23,-2147,-1,-2,-1,5395984,798335145,-717956347,9595237,22442
1417308594656,-51,25,-2166,-1,-1,-1,5394311,798335753,-717955677,9595727,22443
1417308594663,-51,17,-2146,0,0,0,5393903,798334425,-717957126,9598019,22444
1417308594663,-52,23,-2154,-1,-1,0,5396383,798333090,-717958595,9597779,22445
1417308594678,-53,28,-2152,-1,-1,-1,5398407,798333661,-717957941,9598097,22446
1417308594679,-50,25,-2158,-1,-2,0,5398116,798332339,-717959430,9596814,22447
1417308594683,-48,32,-2154,0,0,0,5397633,798331011,-717960881,9599031,22448
