Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1417579518596,-379,-2,1899,-1,-1,0,1069793949,1281885,-91923250,-3299128,15209
1417579518611,-376,-8,1901,0,2,1,1069794749,1280993,-91914072,-3295791,15210
1417579518611,-376,-3,1881,0,7,-1,1069796788,1281378,-91890243,-3298200,15211
1417579518614,-378,-1,1885,1,5,0,1069798058,1286577,-91875412,-3297228,15212
1417579518614,-368,-11,1886,0,4,0,1069799073,1288668,-91863587,-3296482,15213
1417579518617,-364,2,1876,0,2,0,1069799951,1289139,-91853371,-3296092,15214
1417579518617,-374,-6,1857,0,2,1,1069800616,1290604,-91845741,-3292475,15215
1417579518634,-377,-3,1868,-2,-6,0,1069799425,1287544,-91859657,-3292303,15216
1417579518634,-381,-1,1878,-2,-8,0,1069797735,1284093,-91879398,-3292106,15217
1417579518636,-381,-5,1883,-2,-7,0,1069796266,1280400,-91896556,-3291883,15218
1417579518636,-391,-6,1891,-1,-3,0,1069795533,1282927,-91905073,-3291203,15219
1417579518643,-387,-2,1897,-2,-3,2,1069794980,1279391,-91911776,-3285320,15220
1417579518643,-374,-5,1899,-1,0,0,1069795197,1275877,-91909306,-3285083,15221
1417579518659,-368,-4,1880,0,6,1,1069796779,1278238,-91890990,-3281525,15222
1417579518659,-378,0,1870,1,6,0,1069798376,1283576,-91872356,-3280561,15223
1417579518699,-366,-3,1889,-1,2,0,1069799126,1279843,-91863679,-3280297,15224
1417579518699,-366,-1,1869,-1,-2,0,1069799053,1279295,-91864550,-3279837,15225
1417579518702,-367,-5,1883,-1,-2,0,1069798697,1281347,-91868700,-3279114,15226
1417579518702,-386,-2,1875,-1,-5,-2,1069797851,1281511,-91878358,-3284383,15227
1417579518704,-379,-12,1880,-1,-6,1,1069796326,1283395,-91896209,-3280831,15228
1417579518704,-375,1,1892,-1,-5,-1,1069795358,1284173,-91907385,-3283322,15229
1417579518706,-379,-6,1890,0,1,-1,1069795676,1286236,-91903574,-3285414,15230
1417579518706,-391,-4,1884,0,1,1,1069795965,1288672,-91900304,-3281882,15231
1417579518723,-374,-6,1892,0,2,1,1069796362,1290866,-91895774,-3278322,15232
1417579518723,-368,-9,1888,0,3,1,1069797444,1290479,-91883302,-3275025,15233
1417579518725,-375,-3,1881,1,5,0,1069798809,1296418,-91867354,-3274118,15234
1417579518725,-377,-12,1876,0,0,-1,1069799109,1296124,-91863786,-3276497,15235
1417579518728,-369,-6,1888,-1,-2,0,1069798896,1296680,-91866273,-3276130,15236
1417579518728,-376,2,1875,-2,-4,0,1069798303,1293628,-91873220,-3275952,15237
1417579518731,-383,-2,1872,-2,-3,0,1069797861,1289599,-91878438,-3275684,15238
1417579518731,-385,-10,1865,-2,-2,0,1069797584,1286073,-91881721,-3275454,15239
1417579518747,-379,-3,1873,-3,-2,1,1069797284,1280444,-91885391,-3272704,15240
1417579518747,-381,1,1895,-1,0,0,1069797540,1277064,-91882465,-3272479,15241
1417579518750,-380,0,1879,-1,2,1,1069798314,1272957,-91873624,-3269355,15242
1417579518750,-391,-12,1880,0,2,0,1069798808,1274914,-91867867,-3268606,15243
1417579518771,-366,-5,1886,0,0,0,1069798697,1278332,-91869133,-3267988,15244
1417579518771,-371,-1,1893,-1,-2,0,1069798371,1280874,-91872923,-3267308,15245
1417579518774,-391,1,1876,0,-2,-2,1069797985,1286255,-91877173,-3272038,15246
1417579518774,-386,-5,1889,-1,-4,-1,1069797130,1285431,-91887050,-3274385,15247
1417579518808,-373,-9,1889,-1,-4,1,1069796368,1284858,-91896049,-3271099,15248
1417579518808,-376,-6,1880,0,0,0,1069796711,1285064,-91892062,-3270694,15249
1417579518811,-388,2,1881,0,1,0,1069797252,1284910,-91885781,-3270253,15250
1417579518811,-375,-6,1886,0,2,1,1069797925,1283526,-91878095,-3266872,15251
1417579518813,-360,-9,1890,0,4,1,1069798981,1285993,-91865887,-3263331,15252
1417579518813,-364,-1,1871,0,0,0,1069799461,1286204,-91860310,-3262929,15253
