timestamp  X  Y  Z  
1417579992004, 0.1478567, -0.9777138, 4.066378
1417579992036, 0.1470679, -0.9777334, 4.066617
1417579992070, 0.1471582, -0.9776678, 4.06642
1417579992103, 0.1461431, -0.9767752, 4.066884
1417579992136, 0.1460438, -0.9758425, 4.066563
1417579992170, 0.1458339, -0.9747626, 4.066429
1417579992203, 0.1460694, -0.9742704, 4.066329
1417579992235, 0.1463175, -0.9735979, 4.065888
1417579992269, 0.1461714, -0.9732935, 4.065788
1417579992303, 0.1460368, -0.9734017, 4.0657
1417579992335, 0.1460335, -0.973595, 4.065614
1417579992370, 0.1458654, -0.9752716, 4.064597
1417579992403, 0.1458892, -0.9753592, 4.064406
1417579992436, 0.1456189, -0.9750237, 4.063695
1417579992469, 0.1455785, -0.9743714, 4.063202
1417579992502, 0.1453634, -0.9736745, 4.062747
1417579992536, 0.1454849, -0.9721833, 4.062066
1417579992570, 0.1460038, -0.9709643, 4.06118
1417579992603, 0.1449821, -0.9702495, 4.060902
1417579992636, 0.146186, -0.969753, 4.059496
1417579992670, 0.1461528, -0.9698508, 4.058717
1417579992704, 0.1462067, -0.9699013, 4.05865
1417579992735, 0.146144, -0.9699267, 4.058527
1417579992769, 0.145772, -0.970081, 4.058429
1417579992803, 0.1457653, -0.9700891, 4.058441
1417579992835, 0.1457568, -0.9700866, 4.05845
1417579992869, 0.1459186, -0.9698978, 4.058902
1417579992903, 0.1459412, -0.9698468, 4.059057
1417579992935, 0.1459534, -0.9697899, 4.059092
1417579992969, 0.1460135, -0.9693273, 4.059981
1417579993003, 0.1462904, -0.9691473, 4.060498
1417579993037, 0.1468596, -0.9685476, 4.061523
1417579993071, 0.1470035, -0.9685045, 4.061843
1417579993103, 0.1466869, -0.9677838, 4.063188
1417579993135, 0.146502, -0.9679002, 4.063633
1417579993170, 0.1464592, -0.9677757, 4.064652
1417579993203, 0.1460878, -0.9677517, 4.065476
1417579993236, 0.1461303, -0.9675031, 4.065837
1417579993269, 0.1466552, -0.9673378, 4.066082
1417579993302, 0.146295, -0.9671029, 4.066818
1417579993336, 0.1463469, -0.9670908, 4.067542
1417579993370, 0.1467073, -0.9668018, 4.06725
1417579993403, 0.1464815, -0.9667318, 4.068074
1417579993436, 0.1456645, -0.9664649, 4.069263
1417579993471, 0.1456578, -0.9667512, 4.070735
1417579993503, 0.1463089, -0.9664769, 4.070168
1417579993536, 0.1463372, -0.9663971, 4.070512
1417579993571, 0.1462591, -0.9672486, 4.071724
1417579993603, 0.1461381, -0.9678306, 4.072342
1417579993636, 0.1461484, -0.9683809, 4.073646
1417579993670, 0.1452345, -0.9688376, 4.074562
1417579993703, 0.1443637, -0.9697155, 4.07483
1417579993736, 0.1435735, -0.9705408, 4.075047
1417579993770, 0.1429729, -0.9707708, 4.075115
1417579993802, 0.1423528, -0.9713533, 4.075
1417579993835, 0.1417972, -0.9715201, 4.075091
1417579993870, 0.1412431, -0.9716412, 4.075161
1417579993903, 0.1411946, -0.971701, 4.07507
1417579993935, 0.1409378, -0.9719015, 4.074821
1417579993969, 0.1408712, -0.9717867, 4.074692
1417579994002, 0.1404234, -0.9717497, 4.074737
