Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418778484960,388,9,1873,-1,-3,0,814151155,72592016,86749989,-690857613,11921
1418778485011,361,-5,1859,-1,-4,3,814157429,72586430,86741039,-690851930,11922
1418778485011,363,-2,1858,-2,-4,1,814160529,72577329,86735006,-690849990,11923
1418778485014,391,3,1865,0,1,0,814160394,72579259,86738613,-690849494,11924
1418778485014,392,3,1857,0,3,-1,814157696,72586564,86745575,-690851032,11925
1418778485016,378,10,1876,0,2,0,814157004,72592137,86754430,-690850149,11926
1418778485016,379,5,1876,0,1,0,814156697,72594132,86756001,-690850104,11927
1418778485039,379,-3,1881,-1,-2,0,814157116,72591155,86750759,-690850581,11928
1418778485039,386,2,1877,0,0,0,814157114,72592200,86753127,-690850177,11929
1418778485042,388,5,1890,1,0,1,814158678,72596114,86750574,-690848243,11930
1418778485042,386,1,1869,-1,-1,0,814158808,72595447,86748053,-690848476,11931
1418778485058,379,1,1872,-1,-2,1,814161019,72593739,86743084,-690846674,11932
1418778485058,379,4,1880,-1,-3,1,814163497,72589266,86739255,-690844704,11933
1418778485060,387,4,1881,-1,-2,-1,814162093,72586088,86734056,-690847346,11934
1418778485060,394,6,1867,0,0,0,814161991,72587429,86733717,-690847368,11935
1418778485062,385,2,1867,-1,-2,-1,814160397,72585449,86730316,-690849881,11936
1418778485062,372,1,1861,-3,-6,1,814163877,72571582,86724398,-690847980,11937
1418778485065,374,4,1874,-1,-3,1,814166399,72566756,86720151,-690846048,11938
1418778485065,378,-3,1864,0,2,-1,814164068,72570328,86727300,-690847522,11939
1418778485067,394,2,1864,-1,3,-2,814159860,72574475,86738654,-690850620,11940
1418778485067,378,4,1885,-1,2,1,814161205,72578252,86749125,-690847323,11941
1418778485082,379,10,1883,-2,-1,1,814163426,72574723,86751359,-690844796,11942
1418778485082,386,2,1884,0,1,-1,814161285,72576457,86753078,-690846921,11943
1418778485084,388,-1,1880,0,0,-2,814157499,72577073,86756815,-690850849,11944
1418778485084,401,3,1891,-1,-1,-1,814155783,72576584,86758212,-690852747,11945
1418778485092,390,3,1876,-1,-2,0,814156000,72574942,86758543,-690852622,11946
1418778485093,382,1,1876,-1,-3,0,814156561,72571180,86751984,-690853180,11947
1418778485107,380,-4,1868,-1,-2,-2,814153268,72568033,86751095,-690857503,11948
1418778485107,383,0,1871,-1,-2,0,814153700,72565797,86749396,-690857442,11949
1418778485110,381,8,1866,-1,-3,0,814154344,72561858,86742057,-690858019,11950
1418778485110,377,1,1870,-1,-3,0,814154890,72556766,86739283,-690858258,11951
1418778485132,380,5,1872,-1,-1,1,814156921,72555867,86739647,-690855913,11952
1418778485132,372,3,1875,-1,1,0,814156784,72556074,86746936,-690855138,11953
1418778485134,389,0,1879,0,1,-2,814152875,72557501,86751813,-690858982,11954
1418778485134,391,-1,1863,-1,1,-1,814150869,72558534,86759579,-690860263,11955
1418778485140,399,-3,1870,-1,1,0,814150659,72560313,86767570,-690859320,11956
1418778485140,375,1,1893,-3,-3,0,814151521,72553259,86769162,-690858845,11957
1418778485157,378,0,1892,-1,-4,-1,814150634,72545842,86762755,-690861474,11958
1418778485157,387,-2,1878,-1,-2,0,814151102,72542686,86760711,-690861511,11959
1418778485160,391,3,1871,-1,-1,-1,814149437,72542590,86757965,-690863827,11960
1418778485160,381,5,1881,0,1,1,814150894,72546595,86760077,-690861424,11961
1418778485181,374,-5,1874,-1,-1,1,814152914,72545784,86756893,-690859529,11962
1418778485181,390,2,1871,-1,-2,1,814155265,72543315,86754248,-690857350,11963
1418778485183,387,-2,1872,-1,-2,1,814157395,72541487,86753693,-690855101,11964
1418778485183,385,2,1877,-2,-2,-1,814156104,72537155,86754750,-690856945,11965
1418778485190,382,2,1867,0,0,0,814156031,72538617,86754137,-690856954,11966
1418778485190,385,3,1867,-1,-1,-1,814154358,72537940,86751472,-690859332,11967
1418778485206,379,1,1877,0,0,0,814154218,72539145,86755148,-690858909,11968
1418778485206,384,1,1881,0,1,0,814153980,72542072,86756072,-690858766,11969
1418778485210,377,6,1878,0,1,1,814155543,72545552,86757183,-690856419,11970
1418778485210,393,5,1858,-1,0,0,814155671,72543497,86761981,-690855881,11971
1418778485232,371,3,1886,-2,-3,0,814156304,72537597,86762060,-690855745,11972
1418778485232,370,7,1875,-2,-4,2,814161136,72528329,86756847,-690851678,11973
1418778485233,376,0,1873,0,2,1,814162539,72532098,86759436,-690849304,11974
1418778485233,384,3,1868,0,3,0,814161869,72538634,86764418,-690848782,11975
1418778485240,388,3,1875,-1,0,0,814161934,72537576,86769815,-690848138,11976
1418778485240,372,2,1877,-1,-2,1,814164084,72535434,86769070,-690845923,11977
1418778485257,382,6,1877,-1,-3,0,814164793,72530034,86764760,-690846196,11978
1418778485257,388,-2,1875,-1,-2,-1,814163300,72526649,86764052,-690848399,11979
1418778485260,382,-1,1877,-2,-2,0,814163846,72522583,86764944,-690848071,11980
1418778485260,376,-4,1867,-1,-2,0,814164252,72520091,86763484,-690848037,11981
1418778485282,382,4,1863,-1,-4,1,814167023,72514130,86756902,-690846224,11982
1418778485282,388,5,1861,-2,1,0,814167050,72512586,86766306,-690845173,11983
1418778485284,379,-7,1874,-1,0,1,814168885,72512010,86772176,-690842334,11984
1418778485284,378,6,1866,-1,-2,0,814169365,72509902,86770018,-690842260,11985
1418778485290,384,7,1870,0,-2,0,814169572,72509124,86763117,-690842965,11986
1418778485290,384,5,1862,0,0,0,814169452,72510165,86762948,-690843019,11987
1418778485307,383,6,1875,0,0,0,814169294,72511198,86766787,-690842614,11988
1418778485307,387,4,1887,0,1,1,814170774,72513913,86772328,-690839889,11989
1418778485310,390,4,1873,0,2,0,814170224,72518866,86776190,-690839532,11990
1418778485310,388,-8,1864,0,-1,-1,814168277,72520701,86772453,-690842104,11991
1418778485331,377,-6,1867,0,-3,1,814170574,72520438,86763031,-690840608,11992
1418778485331,374,3,1879,-1,-2,2,814174729,72518654,86760525,-690836212,11993
1418778485334,383,-1,1870,0,1,-1,814172688,72520747,86761301,-690838300,11994
1418778485334,391,-5,1867,0,2,-1,814170306,72525577,86768940,-690839641,11995
1418778485340,386,9,1887,0,2,0,814169752,72532015,86772849,-690839127,11996
1418778485340,386,-1,1882,0,2,-1,814167330,72536181,86777211,-690840996,11997
1418778485357,385,-1,1866,-1,-2,-1,814165869,72533681,86776208,-690843107,11998
1418778485357,376,-3,1857,-1,-4,0,814166686,72527920,86770900,-690843415,11999
1418778485360,373,6,1871,-1,-3,1,814169197,72523868,86766761,-690841401,12000
1418778485360,376,2,1881,0,0,0,814169156,72523793,86769487,-690841115,12001
1418778485382,385,0,1874,0,0,-1,814167302,72523932,86772163,-690842949,12002
1418778485382,393,-2,1869,0,0,-1,814165363,72525078,86775645,-690844677,12003
1418778485384,383,0,1873,-1,-2,1,814167394,72524261,86774904,-690842462,12004
1418778485384,378,6,1872,-1,-2,1,814169551,72522738,86769315,-690840782,12005
