Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418703573338,71,32,1966,-2,-14,-1,1073531219,-4773992,16060635,-13095417,7461
1418703573339,61,30,1973,-1,-8,-1,1073531514,-4774733,16040452,-13095732,7462
1418703573340,61,25,1979,1,-2,-1,1073531597,-4769306,16036094,-13096211,7463
1418703573342,64,32,1961,1,5,-1,1073531372,-4765870,16051755,-13096727,7464
1418703573343,66,30,1979,0,10,-1,1073530909,-4766003,16082188,-13097274,7465
1418703573345,87,33,1994,0,14,-2,1073530238,-4765768,16124209,-13100727,7466
1418703573345,91,25,1982,1,13,0,1073529651,-4762947,16165893,-13098486,7467
1418703573361,99,20,1988,1,7,1,1073529353,-4759309,16190945,-13093292,7468
1418703573362,92,27,1981,-1,-1,-1,1073529250,-4761082,16196979,-13093627,7469
1418703573364,95,30,1983,-1,-7,0,1073529449,-4763907,16185038,-13091045,7470
1418703573365,81,29,1980,-1,-13,0,1073529899,-4767305,16156317,-13088390,7471
1418703573370,86,15,1983,-1,-16,-1,1073530524,-4767925,16114400,-13088592,7472
1418703573370,72,23,1971,-1,-16,0,1073531181,-4766754,16073103,-13085907,7473
1418703573387,59,23,1981,-1,-17,-1,1073531809,-4769513,16030168,-13086060,7474
1418703573387,53,28,1979,0,-9,-1,1073532186,-4766318,16005548,-13086395,7475
1418703573391,56,27,1972,0,-1,-1,1073532230,-4763477,16003082,-13086845,7476
1418703573391,67,25,1977,0,8,0,1073531907,-4763019,16026792,-13084504,7477
1418703573412,74,24,1980,1,14,-1,1073531286,-4759265,16068940,-13085130,7478
1418703573412,82,19,1984,1,13,-1,1073530695,-4755409,16109065,-13085737,7479
1418703573414,79,20,1992,0,11,-1,1073530164,-4753846,16144457,-13086261,7480
1418703573415,99,17,1979,-1,5,0,1073529862,-4758253,16165220,-13083781,7481
1418703573422,82,22,1985,0,0,-2,1073529738,-4756847,16171247,-13087012,7482
1418703573422,91,26,1986,-1,-8,-1,1073530022,-4756317,16152290,-13087302,7483
1418703573432,92,24,1979,-1,-10,-1,1073530372,-4756339,16128742,-13087569,7484
1418703573432,76,29,1972,-1,-12,0,1073530842,-4756146,16099646,-13084948,7485
1418703573467,63,30,1986,-1,-14,0,1073531422,-4756675,16062896,-13082320,7486
1418703573467,59,25,1974,-1,-11,-2,1073531827,-4757313,16033053,-13085458,7487
1418703573470,62,19,1967,-1,-8,-1,1073532092,-4760027,16014249,-13085737,7488
1418703573470,58,26,1973,-1,-2,-2,1073532064,-4761833,16012983,-13088939,7489
1418703573472,53,30,1972,0,5,-1,1073531831,-4761394,16028342,-13089415,7490
1418703573473,79,21,1977,0,10,-1,1073531391,-4761286,16057379,-13089965,7491
1418703573474,82,32,1967,0,9,-2,1073530860,-4762919,16089615,-13093300,7492
1418703573475,82,27,1985,0,10,-1,1073530364,-4763019,16122239,-13093837,7493
1418703573480,77,28,1987,0,6,1,1073530057,-4765358,16146258,-13088566,7494
1418703573480,80,20,1978,0,1,-1,1073529959,-4765261,16152425,-13088985,7495
1418703573496,89,24,1975,-1,-4,0,1073530055,-4767133,16147594,-13086435,7496
1418703573496,80,26,1981,-1,-3,-2,1073530074,-4766716,16143838,-13089648,7497
1418703573500,82,30,1977,0,-7,-1,1073530328,-4763792,16127491,-13090002,7498
1418703573500,85,27,1968,-1,-11,-1,1073530679,-4767190,16102912,-13090239,7499
1418703573525,78,27,1977,-1,-12,0,1073531103,-4770211,16075900,-13087597,7500
1418703573525,69,27,1972,-1,-10,-1,1073531419,-4773205,16053704,-13087843,7501
1418703573527,65,22,1971,0,-9,0,1073531810,-4770456,16030365,-13085321,7502
1418703573527,71,28,1965,-1,-6,-1,1073532036,-4769892,16015136,-13085646,7503
1418703573546,69,25,1959,0,0,-1,1073531936,-4772685,16020736,-13086025,7504
1418703573546,63,24,1978,0,7,-1,1073531597,-4772047,16043223,-13086519,7505
1418703573548,65,29,1977,2,9,-1,1073531210,-4765485,16070533,-13087125,7506
1418703573548,83,23,1982,0,13,0,1073530599,-4767903,16112502,-13084815,7507
1418703573551,94,27,1977,0,14,-1,1073529935,-4766727,16156607,-13085385,7508
1418703573551,91,33,1991,0,9,-1,1073529461,-4766210,16187784,-13085892,7509
1418703573570,81,19,1983,0,1,-2,1073529244,-4769573,16198541,-13089140,7510
1418703573571,96,26,1983,-1,-5,0,1073529438,-4768521,16188040,-13086604,7511
1418703573572,96,27,1979,-1,-12,0,1073529845,-4771384,16162295,-13083954,7512
